"ReferenceID","LegalName","ReportingYear","FilingType","FilingStatus","MarketType","ProductName","ProposedRateIncrease","FinalRateIncrease","MemberAffected","DateEffective"
"HNLH-128323664","Health Net of California, Inc.",2012,"New Product Filing","Completed","Individual","IFP HMO Value 50 ","New Products","New Products","","07/01/2012"
"UHLC-128399749","UHC of California",2012,"Rate Filing","Completed","Small Group","UHG CA HMO 201208 - 20120525","6.3","6.3","37442","08/01/2012"
"HNLH-128440698","Health Net of California, Inc.",2012,"Rate Filing","Completed","Small Group","SBG Non-Pooled HMO-Type Plans","5.8","5.8","166625","08/01/2012"
"SHHP-128442022","Sharp Health Plan",2012,"Rate Filing","Completed","Small Group","Small Group 8.1.12 Rates ","-7.6","-7.6","4757","08/01/2012"
"SHHP-128442498","Sharp Health Plan",2012,"New Product Filing","Completed","Small Group","Performance Network 8.1.12 Rates","New Products","New Products","","08/01/2012"
"UHLC-128457618","UHC of California",2012,"Annual/Aggregate Filing","Completed","Small Group","Annual Aggregate Rate Data Report","N/A","N/A","N/A","2011"
"AWLP-128573021","Blue Cross of California",2012,"New Product Filing","Completed","Small Group","Priority Select HMO Rates","New Products","New Products","","10/01/2012"
"AETN-128569983","Aetna Health of California Inc.",2012,"Rate Filing","Completed","Small Group","Aetna SG AHI-CA 10012012","9.9","9.9","70612","10/01/2012"
"SHHP-128613040","Sharp Health Plan",2012,"Rate Filing","Completed","Small Group","Small Group Rates Effective 10.1.2012","-4.8","-4.8","4977","10/01/2012"
"BCCA-128668792","California Physicians' Service",2012,"Rate Filing","Completed","Small Group","Access + HMO Premier, Access + HMO Enhanced, Premier PPO, Access Baja HMO, Local Access + HMO Premier, Local Access + HMO Enhanced","7.7","7.7","199159","01/01/2013"
"HNLH-128668351","Health Net of California, Inc.",2012,"Rate Filing","Completed","Small Group","SBG Non-Pooled HMO-Type Plans","8.8","8.8","168496","11/01/2012"
"CCOH-128667430","Contra Costa County Medical Services",2012,"Rate Filing","Completed","Individual","Rate Filing - Individual","7.5","7.5","1622","11/01/2012"
"CCOH-128668725","Contra Costa County Medical Services",2012,"Rate Filing","Completed","Small Group","Rate Filing - Small Group","7.5","7.5","270","11/01/2012"
"SHHP-128710083","Sharp Health Plan",2012,"New Product Filing","Completed","Individual","Individual Product Rates Effective 12.01.12","New Products","New Products","","12/01/2012"
"CCHP-128710061","Chinese Community Health Plan",2012,"Rate Filing","Completed","Individual","CCHP 2013 Renewal Rates for Individual & Family Plans","1.5","1.5","1563","01/01/2013"
"AWLP-128683754","Blue Cross of California",2012,"Rate Filing","Completed","Small Group","Small Group Rates Effective January 1, 2013","8.0","8.0","152,761","01/01/2013"
"CCHP-128710059","Chinese Community Health Plan",2012,"Rate Filing","Completed","Small Group","CCHP 2013 Renewal Rates for Small Group Plans","0.7","0.7","2065","01/01/2013"
"HNLH-128697951","Health Net of California, Inc.",2012,"Rate Filing","Completed","Individual","IFP HMO IFP Rate Change Eff. 1/1/13","18","18","2418","01/01/2013"
"UHLC-128711862","UHC of California",2012,"Rate Filing","Completed","Small Group","UHG CA HMO 201301 - 20121009","6.8","6.8","36434","01/01/2013"
"AWLP-128713173","Blue Cross of California",2012,"Rate Filing","Completed","Small Group","01012013 CalChoice HMO Rate Filing","6.3","6.3","4,324","01/01/2013"
"WNHA-128736035","Western Health Advantage",2012,"Rate Filing","Completed","Individual","WHA Individual HMO","4.0","4.0","23","01/01/2013"
